filename,grid_row,grid_col,horizontal_offset_m,depth_offset_m,expected_ground_distance_m,expected_euclidean_m
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,3,2,-0.25,3.9,3.908,4.186
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,3,3,0.25,3.9,3.908,4.186
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,3,4,0.75,3.9,3.971,4.245
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,4,1,-0.75,4.45,4.513,4.756
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,4,2,-0.25,4.45,4.457,4.703
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,4,3,0.25,4.45,4.457,4.703
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,4,4,0.75,4.45,4.513,4.756
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,1,1,-0.75,2.3,2.419,2.928
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,1,2,-0.25,2.3,2.314,2.842
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,1,3,0.25,2.3,2.314,2.842
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,1,4,0.75,2.3,2.419,2.928
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,2,1,-0.75,2.85,2.947,3.377
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,2,2,-0.25,2.85,2.861,3.303
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,2,3,0.25,2.85,2.861,3.303
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,2,4,0.75,2.85,2.947,3.377
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,3,1,-0.75,3.4,3.482,3.853
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,3,2,-0.25,3.4,3.409,3.787
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,3,3,0.25,3.4,3.409,3.787
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,3,4,0.75,3.4,3.482,3.853
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,4,1,-0.75,3.95,4.021,4.346
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,4,2,-0.25,3.95,3.958,4.288
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,4,3,0.25,3.95,3.958,4.288
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,4,4,0.75,3.95,4.021,4.346
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,1,1,-0.75,1.3,1.501,2.382
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,1,2,-0.25,1.3,1.324,2.275
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,1,3,0.25,1.3,1.324,2.275
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,1,4,0.75,1.3,1.501,2.382
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,2,1,-0.75,1.85,1.996,2.722
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,2,2,-0.25,1.85,1.867,2.628
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,2,3,0.25,1.85,1.867,2.628
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,2,4,0.75,1.85,1.996,2.722
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,3,1,-0.75,2.4,2.514,3.122
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,3,2,-0.25,2.4,2.413,3.041
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,3,3,0.25,2.4,2.413,3.041
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,3,4,0.75,2.4,2.514,3.122
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,4,1,-0.75,2.95,3.044,3.562
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,4,2,-0.25,2.95,2.961,3.491
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,4,3,0.25,2.95,2.961,3.491
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,4,4,0.75,2.95,3.044,3.562
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,1,1,-0.75,2.3,2.419,3.045
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,1,2,-0.25,2.3,2.314,2.962
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,1,3,0.25,2.3,2.314,2.962
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,1,4,0.75,2.3,2.419,3.045
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,2,1,-0.75,2.85,2.947,3.48
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,2,2,-0.25,2.85,2.861,3.407
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,2,3,0.25,2.85,2.861,3.407
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,2,4,0.75,2.85,2.947,3.48
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,3,1,-0.75,3.4,3.482,3.943
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,3,2,-0.25,3.4,3.409,3.879
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,3,3,0.25,3.4,3.409,3.879
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,3,4,0.75,3.4,3.482,3.943
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,4,1,-0.75,3.95,4.021,4.426
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,4,2,-0.25,3.95,3.958,4.369
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,4,3,0.25,3.95,3.958,4.369
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,4,4,0.75,3.95,4.021,4.426
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,1,1,-0.75,1.3,1.501,2.122
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,1,2,-0.25,1.3,1.324,2.001
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,1,3,0.25,1.3,1.324,2.001
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,1,4,0.75,1.3,1.501,2.122
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,2,1,-0.75,1.85,1.996,2.497
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,2,2,-0.25,1.85,1.867,2.395
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,2,3,0.25,1.85,1.867,2.395
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,2,4,0.75,1.85,1.996,2.497
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,3,1,-0.75,2.4,2.514,2.928
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,3,2,-0.25,2.4,2.413,2.841
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,3,3,0.25,2.4,2.413,2.841
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,3,4,0.75,2.4,2.514,2.928
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,4,1,-0.75,2.95,3.044,3.393
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,4,2,-0.25,2.95,2.961,3.319
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,4,3,0.25,2.95,2.961,3.319
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,4,4,0.75,2.95,3.044,3.393
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,1,1,-0.75,1.8,1.95,2.522
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,1,2,-0.25,1.8,1.817,2.421
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,1,3,0.25,1.8,1.817,2.421
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,1,4,0.75,1.8,1.95,2.522
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,2,1,-0.75,2.35,2.467,2.94
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,2,2,-0.25,2.35,2.363,2.854
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,2,3,0.25,2.35,2.363,2.854
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,2,4,0.75,2.35,2.467,2.94
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,3,1,-0.75,2.9,2.995,3.396
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,3,2,-0.25,2.9,2.911,3.322
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,3,3,0.25,2.9,2.911,3.322
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,3,4,0.75,2.9,2.995,3.396
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,4,1,-0.75,3.45,3.531,3.876
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,4,2,-0.25,3.45,3.459,3.811
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,4,3,0.25,3.45,3.459,3.811
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,4,4,0.75,3.45,3.531,3.876
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,1,1,-0.75,2.8,2.899,3.311
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,1,2,-0.25,2.8,2.811,3.235
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,1,3,0.25,2.8,2.811,3.235
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,1,4,0.75,2.8,2.899,3.311
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,2,1,-0.75,3.35,3.433,3.787
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,2,2,-0.25,3.35,3.359,3.721
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,2,3,0.25,3.35,3.359,3.721
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,2,4,0.75,3.35,3.433,3.787
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,1,-0.75,3.9,3.971,4.282
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,2,-0.25,3.9,3.908,4.223
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,3,0.25,3.9,3.908,4.223
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,4,0.75,3.9,3.971,4.282
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,4,1,-0.75,4.45,4.513,4.788
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,4,2,-0.25,4.45,4.457,4.736
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,4,3,0.25,4.45,4.457,4.736
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,4,4,0.75,4.45,4.513,4.788
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,1,1,-0.75,1.8,1.95,2.688
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,1,2,-0.25,1.8,1.817,2.593
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,1,3,0.25,1.8,1.817,2.593
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,1,4,0.75,1.8,1.95,2.688
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,2,1,-0.75,2.35,2.467,3.083
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,2,2,-0.25,2.35,2.363,3.001
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,2,3,0.25,2.35,2.363,3.001
